parent_cod,code,name,area
MAR,MAR.1_1,Chaouia - Ouardigha,16545686975.80
BWA,BWA.15_1,Southern,27331124784.82
ETH,ETH.11_1,Tigray,52553746508.10
SEN,SEN.11_1,Sédhiou,7352115908.66
GNQ,GNQ.7_1,Wele-Nzas,5904846215.87
BWA,BWA.13_1,Selibe Phikwe,45332765.26
DJI,DJI.5_1,Tadjourah,6624323405.87
UGA,UGA.2_1,Apac,6524479435.83
NAM,NAM.7_1,Ohangwena,10649494034.07
MRT,MRT.2_1,Assaba,35891195607.74
LBY,LBY.17_1,Nalut,67616034312.88
TZA,TZA.27_1,Tanga,28031381287.93
MRT,MRT.5_1,Gorgol,13791157214.88
BFA,BFA.4_1,Centre-Nord,19672037196.08
MRT,MRT.10_1,Nouakchott,1496475000.20
KEN,KEN.7_1,Garissa,43850999455.59
MWI,MWI.21_1,Nsanje,1926848898.77
EGY,EGY.14_1,Al Wadi al Jadid,426449316455.86
CAF,CAF.13_1,Ouaka,49208481680.79
KEN,KEN.39_1,Taita Taveta,17175942646.06
UGA,UGA.10_1,Iganga,2478895877.04
KEN,KEN.30_1,Nairobi,711501223.63
BWA,BWA.8_1,Kgatleng,7786888898.27
DZA,DZA.17_1,El Bayadh,71674277763.66
LBR,LBR.3_1,Gbapolu,9245518361.40
SDN,SDN.5_1,East Darfur,55128860679.46
NGA,NGA.13_1,Ekiti,5233222612.20
SSD,SSD.2_1,Eastern Equatoria,69188438790.14
NER,NER.5_1,Niamey,398684762.75
TZA,TZA.11_1,Manyara,46699888669.17
TCD,TCD.9_1,Kanem,67670066080.44
TGO,TGO.4_1,Plateaux,17253805921.62
NGA,NGA.37_1,Zamfara,34524806150.33
DZA,DZA.6_1,Batna,12133879108.20
COD,COD.2_1,Équateur,102024832788.90
ZMB,ZMB.3_1,Eastern,50552925004.71
MOZ,MOZ.9_1,Sofala,68095563405.91
UGA,UGA.27_1,Kitgum,9556819249.96
AGO,AGO.5_1,Cuando Cubango,199478704639.15
NGA,NGA.4_1,Anambra,4598017922.37
DZA,DZA.24_1,Khenchela,9576476003.02
UGA,UGA.32_1,Lake Victoria,28450492780.14
BFA,BFA.11_1,Plateau-Central,8596317164.39
MLI,MLI.2_1,Gao,175880122099.62
CMR,CMR.9_1,Sud-Ouest,24902957265.87
KEN,KEN.15_1,Kirinyaga,1481971839.60
MWI,MWI.23_1,Ntchisi,1720244884.14
TUN,TUN.15_1,Monastir,984439686.32
CIV,CIV.14_1,Zanzan,37971033436.30
CPV,CPV.12_1,Santa Catarina,227388902.08
UGA,UGA.1_1,Adjumani,3087885066.52
AGO,AGO.15_1,Moxico,199970815782.27
GMB,GMB.3_1,Maccarthy Island,3019353804.67
NGA,NGA.15_1,Federal Capital Territory,7356052635.12
MRT,MRT.4_1,Dakhlet Nouadhibou,17480066852.04
COG,COG.5_1,Kouilou,13502421132.42
DZA,DZA.40_1,Souk Ahras,4223864949.28
ERI,ERI.2_1,Debub,32882308463.90
LBR,LBR.10_1,Maryland,2196386169.98
TCD,TCD.11_1,Logone Occidental,8809773892.08
GIN,GIN.5_1,Kindia,25648909052.75
MUS,MUS.6_1,Pamplemousses,181137268.47
ESH,ESH.1_1,Boujdour,43401779521.97
SEN,SEN.6_1,Kédougou,16901756831.40
EGY,EGY.24_1,Matrouh,158549760275.96
MAR,MAR.10_1,Oriental,59762924071.57
BDI,BDI.4_1,Bururi,3088587407.05
BDI,BDI.11_1,Makamba,2552747758.06
UGA,UGA.20_1,Kapchorwa,1728558065.72
LBY,LBY.6_1,Al Kufrah,429811675837.37
